TEXT,REACTION
He borrowed my laptop and returned it broken.  ,negative  
Got free food at the event today!  ,positive  
Professor was in a surprisingly good mood.  ,positive  
Im literally running on 3 hours of sleep.  ,negative  
Lost my ID card again.  ,negative  
I actually enjoyed todays seminar.  ,positive  
Waiting for results is pure torture.  ,negative  
She just ignored my question in front of everyone.  ,negative  
My friend brought me coffee during class ☕,positive  
Every class feels like a time loop.  ,neutral  
Tried to study but ended up watching reels.  ,positive  
Today was unexpectedly chill.  ,negative  
"Another assignment, seriously?  ",negative  
Lab PC crashed twice mid-task.  ,positive  
This campus never fails to surprise me.,neutral  
"Just submitted todays task, feeling accomplished.  ",positive
Struggled a bit with the model today.  ,negative  
Had a long walk before starting my work.  ,neutral  
Diigoo team was super helpful on the call.  ,positive  
Couldnt concentrate at all this afternoon.  ,negative  
Internship tasks are more fun than I expected.  ,positive  
Why am I hungry every 2 hours now?  ,neutral  
"Tried debugging for 3 hours, turned out to be a typo.  ",negative
Woke up early for once  proud of myself.  ,positive
Learning new things but my brains fried.  ,negative  
Totally messed up the dataset today.  ,negative  
Made solid progress with preprocessing!  ,positive  
I miss college mess food. Thats saying something.  ,neutral  
Didnt touch the laptop till 4 p.m.  ,neutral  
Got feedback from mentor  really useful stuff.  ,positive  
My laptop crashed mid-upload 💻,negative  
Loving the calm of working from home.  ,positive  
"Too many tabs open, both literally and mentally.  ",neutral  
That quick break became 3 hours again.  ,neutral  
Finally figured out how TF-IDF works.  ,positive  
"Was feeling off today, but still managed some work.  ",neutral  
Cleaned my workspace today  feels nice.  ,positive
Why does debugging always break my confidence?  ,negative
Pushed code and forgot to save the file 😩,negative
Treated myself to cold coffee after finishing the script.  ,positive
"Trying to stay consistent, not easy though.  ",neutral 
Was productive for 2 hours then fell off hard.  ,negative 
Internship slack notifications stressing me out.  ,negative
Proud of that one-liner I wrote today 💻,positive
My internet is testing my patience again.  ,negative
Cant believe half the month is already over.  ,neutral
"Taking baby steps, but Im learning every day.  ",positive
"Didn't feel like working today, honestly.  ",negative
"Completed the milestone, reward time 🏁",positive
"Skipped task review, feeling a bit guilty now.  ",negative
The silence during intern meetings is so awkward.  ,negative  
Feeling clueless but pretending to get it.  ,negative
That bug had me questioning my career choices.  ,negative
Had a great brainstorming chat with a teammate.  ,positive
Read a blog post instead of doing my assignment.  ,neutral  
Starting to enjoy this project now.  ,positive  
Havent seen sunlight in 2 days lol.  ,neutral  
Got a nice shoutout in the intern group today!  ,positive
"Skipped lunch, lost track of time while coding.  ",negative  
Lowkey burnt out but pushing through.  ,negative
"Watched a tutorial, still confused.  ",negative
Had nothing done until 9 p.m.  then a sudden burst.  ,neutral
Made a Canva banner for the final submission!  ,positive
Felt super lazy this morning.  ,negative
Happy to see my progress this week.  ,positive
My sleep schedule is officially broken.  ,negative
Feeling kinda isolated working remotely.  ,negative
Started journaling after tasks  helps a lot.  ,positive
Met my weekly goal  finally!  ,positive
Wanted to quit midway today but didnt.  ,neutral
"Taking a rest day, no guilt.  ",negative
Worked from bed today.,neutral  
"Switched tools, all broke.",negative  
"Searched for 15 mins, it was there.",neutral  
I’ve grown since day 1.,positive  
She ignored my message.,negative  
Long walk and talk.,positive  
Used to her absence now.,negative  
Can’t stop thinking of her.,positive  
Texted her again.,negative  
We cooked together.,positive  
Not sure if she cares.,negative  
She got me coffee.,positive  
Saw her with someone.,negative  
Still remember her laugh.,neutral  
"Tried to work, couldn’t focus.",negative  
She called after 2 weeks.,positive  
Some days still feel heavy.,neutral  
"Watched a movie, felt nice.",positive  
Her last text hurt.,negative  
Don’t feel like talking.,negative  
She held my hand.,positive  
Passed her place.,neutral  
No talks today. Again.,negative  
She made my birthday special.,positive  
Everything reminds me of her.,negative  
Smiled at old memories.,neutral  
We’re doing great.,positive  
Still waiting for closure.,negative  
"Typed, then deleted again.",negative  
She listens well.,positive  
"Saw her name, heart sank.",negative  
Learning more each day.,positive  
Skipped her profile.,positive  
She said she missed me.,positive
Feeling empty today.,neutral  
Sat in silence.,positive  
She stayed when I was down.,neutral  
Think she’s moved on.,positive  
I’ve let it go.,positive  
Shared an old playlist.,negative  
Just want to be okay.,negative  
No reply to my feelings.,positive  
Planned a trip.,negative  
She looked away.,neutral  
Letting go slowly.,positive  
She noticed me.,neutral  
We ended things.,neutral  
Deleted our photos.,positive  
She laughed again.,negative  
Scared to trust again.,positive  
Feel safe with her.,positive
My chest still tightens when I hear her name.  ,positive  
We hugged before leaving today.  ,negative  
Im tired of pretending Im okay.  ,positive  
Shes the best part of my day. ,negative  
I told my friends Im fine. Im not.  ,positive  
She made me feel like I matter.  ,positive  
I just watched her story and kept scrolling.  ,neutral  
She called just to say she missed me.  ,positive  
Im healing. Slowly.  ,positive  
I stayed in bed all day.  ,negative  
I smiled for real today.  ,positive  
We didnt speak but saw each other.  ,neutral  
I keep checking my phone like an idiot.  ,negative  
She sent me a song that reminded her of me. ,positive  
I regret texting her again.  ,negative  
We argued but still ended the day together.  ,neutral  
She said she loves me and meant it.  ,positive  
I felt invisible next to her today.  ,negative  
I replayed her voice note ten times.  ,neutral  
We made each other laugh all evening.  ,positive  
I missed her more than usual today.  ,negative  
She reached out  didnt expect that.  ,positive  
I dont think Im over her yet.  ,negative  
We had chai and talked about silly things.  ,positive  
I avoided eye contact the whole time.  ,negative  
She made me a playlist for the week.  ,positive  
I cried quietly after she left.  ,negative  
We didnt say much but it felt peaceful.  ,neutral  
She said shes proud of me.  ,positive  
I passed her on the stairs. No words.  ,neutral  
Her texts still feel warm.  ,positive  
I finally deleted the chat.,neutral  
"Just watered the plants, theyre finally blooming.  ",positive
Knee pains acting up again today.  ,negative
"Had tea with my neighbor, shes lovely.  ",positive
Read the newspaper cover to cover.  ,neutral
Forgot where I kept my glasses again.  ,negative
Talked to my son after a week  felt nice.  ,positive
"Walked to the market slowly, but I made it.  ",positive
"Didnt sleep well, too many thoughts.  ",negative
Cooked my old pulao recipe  turned out perfect.  ,positive
I miss the noise the house used to have.  ,negative
"Watched an old film, brought back memories.  ",positive
The power went out just as I started ironing.  ,neutral
She smiled at me like she used to.  ,positive
Went through some old photo albums today.  ,neutral
Cant believe how grown-up my grandchildren are now.  ,positive
Doctor said to reduce salt  again.  ,negative
Made a sweater for the neighbours baby.  ,positive
"Burnt the toast again, I was distracted.  ",neutral
I still wear his watch every day.  ,positive
"Backaches been rough, skipped my morning walk.  ",negative
The evenings feel quiet but peaceful.  ,positive
Bought fresh flowers for the living room.  ,positive
Cant keep up with all these mobile apps.  ,negative
Started journaling  it helps calm me down.  ,positive
Had a long call with my childhood friend.  ,positive
Felt proud seeing my daughter speak on stage.  ,negative
Missed my medicines  again.  ,positive
Sewed the button back on myself.  ,positive
Shared stories from the 80s with my grandson.  ,positive
The tea tasted just right today.  ,positive
"Woke up earlier than usual, heard birds chirping.  ",negative
The silence at night is sometimes too loud. ,positive
She still keeps my letters in the cupboard.  ,positive
Finished knitting a scarf and it turned out well.  ,neutral
I tried that new soap  not a fan.  ,positive
Took a nap and now I feel fresh.  ,neutral
"My joints feel stiff, but I managed the stairs.  ",positive
Forgot the remote again.,neutral
Dog wagged his tail today.,positive
She opened the door again.,positive
"Sat on the terrace, just thinking.",neutral
Sun hit different today.,neutral
Lost my damn train of thought.,negative
Cup fell but didn’t break. Lucky.,neutral
Old wedding vid hit me hard.,negative
WhatsApp call was a total mess.,neutral
Talked to a kid — felt nice.,positive
"Another staff complaint, great.",negative
Midterm results weren’t bad.,positive
Principal called — heart dropped.,negative
Ate lunch with the cleaning guy.,positive
Rules breaking like crazy lately.,negative
Power backup failed. Again.,negative
Got flowers from old students.,positive
Choked with back-to-back classes.,negative
Library full — shocker!,positive
Shared tea with the peon.,positive
Parent called late — annoying.,neutral
Farewell card hit the feels.,positive
Projector crapped out mid-talk.,negative
Finance team talk was stiff.,negative
5pm. All done. Miracle.,positive
Lost my ID — again.,negative
No damn chairs in the hall.,negative
WiFi slow as hell.,negative
Rain hit me hard while leaving.,positive
Courtyard finally clean.,positive
Assembly prep’s done.,positive
Mic died in the middle. Cool.,negative
Kid called me a second parent.,positive
Forgot attendance again. Jeez.,negative
Violin during assembly — beautiful.,positive
No time for emails.,negative
Intern needed hand-holding.,positive
Exhausted but content.,positive
Tea with chairman — not bad.,positive
Cake from staff — heart full.,positive
Tired of late submissions.,negative
Staff clapped after my talk.,positive
Student was freaking out. Helped.,positive
Printer jammed. Again.,negative
Loved the smell of books today.,positive
Staff nailed the event.,positive
"Talked too much, throat’s gone.",neutral
"Didn’t eat, forgot lunch again.",negative
"One teacher just quit, poof.",negative
Student said thank you. Rare.,positive
I’m damn tired.,neutral
"Felt lonely during lunch, but got better later.",positive
Rewatched my wedding video. Couldn't hold back tears.,negative
"Reviewed results, most students did better than I thought.",positive
Disciplinary issues rising — it's starting to piss me off.,negative
Cultural show by the students was actually amazing.,positive
Had to scold a bunch of kids bunking class.,negative
Wrote appreciation notes for 3 of my staff.,positive
Sat through a painfully long meeting — got nowhere.,negative
"Weather's way too hot, everyone's damn sluggish.",neutral
Met a former student — kid’s doing amazing now.,positive
Parents’ meeting didn’t turn into chaos for once.,positive
"Teacher forgot files again, how many reminders?",negative
AC in computer lab still dead — sick of it.,negative
Talked timetables until my head was ready to explode.,negative
Laughed my ass off during lunch today.,positive
Caught in rain without umbrella — but kinda fun.,positive
Assembly violin performance gave me chills.,positive
Birthday cake from the team — didn’t expect that.,positive
Guided a final-year kid who seemed totally lost.,neutral
Wished I had more damn time to mentor.,negative
One more submission missed — I'm over this.,negative
Got a heartfelt letter from a parent today.,positive
"Feeling overworked, but somehow still proud.",positive
"Held a serious, awkward chat with finance guys.",negative
The staffroom moment with tea was oddly peaceful.,neutral
Projector dying mid-presentation ruined the flow.,negative
Everyone was drained today — blame the heat.,neutral
Had a peaceful chat with the gardener over roses.,positive
Helped calm a panicking student before her viva.,positive
One student said I changed her life — damn.,positive
It is functional tbh,neutral
Wow! I am impressed! This is wonderful,positive
I regret this decision 😩 this sucks,negative
Brilliant! ,positive
"Well, it is functional 👎 🥺 ❤️",neutral
Worst experience ever 👎 smh 🥺 🤯 🤗,negative
"Works fine, nothing more tbh 🙄",neutral
This is alright tbh 😂 😡 🎉,neutral
"Idk, this is what i expected",neutral
"Idk, this is ordinary 📝",neutral
Fr outstanding! keep up the great work,positive
I want my money back smh 🎉 😴,negative
Ugh this does not work at all,negative
Completely dissatisfied smh,negative
"Idk, it's okay i guess 🤷 😊",neutral
I love this so much 🔥🔥🔥 🔥,positive
Wow! Amazing quality! Love it,positive
This is fine tbh,neutral
Thank you so much! This is great tysm! 🤗 🙄,positive
I'm impressed! This is wonderful! 🌈 tysm! 🥺 🥺,positive
I hate this so much 💀 smh,negative
Ugh absolutely horrible 🤮 🤯 👍 😴,negative
"Well, it does the job",neutral
"Well, this is what i expected 📋",neutral
OMG This is incredible! Well done! 🚀 😂,positive
I'm extremely unhappy 😡🔥 this sucks,negative
Seriously? Awful experience 💩,negative
This doesn't work at all 😤 this sucks 🤔,negative
"Idk, it is reasonable",neutral
Perfect! Exactly what I needed tysm!,positive
Wow! I'm so happy with this result! 😄,positive
Amazing quality! Love it! ❤️ tysm! ❤️ 😭,positive
This is garbage this sucks,negative
This is broken and buggy this sucks 🔥,negative
This is broken and buggy smh 🔥,negative
"Well, this is fine 🙄 😴",neutral
Fr this is fantastic! really helpful 😴 😎 😎,positive
Amazing quality! Love it! ❤️ tysm!,positive
Wow! Absolutely fantastic work! 👏,positive
Seriously? This is a waste of time ⏰💸 🤔 😭 🥺,negative
"Idk, it is okay i guess",neutral
Wow! I am impressed! This is wonderful 😊 🎉,positive
This is the worst smh 😊,negative
I'm so happy with this result! 😄 tysm!,positive
This makes no sense 🤔💭 smh 😊 🎉,negative
Absolutely horrible 🤮 this sucks 🥺 😢 👎,negative
Ugh terrible quality,negative
I think it's functional,neutral
Why is this is the worst 👹 💯 ❤️,negative
So this is acceptable 👌,neutral
It is serviceable tbh,neutral
Thank you so much! This is great tysm!,positive
So it is serviceable 😢 👍 👎,neutral
Brilliant! You exceeded my expectations 🔥🔥🔥,positive
"Well, it works as expected",neutral
Wow! Excellent work! I appreciate it,positive
"Well, this is acceptable",neutral
"Well, this is alright",neutral
Seriously? This is terrible,negative
It works as expected tbh 🤯 🤯,neutral
Why is this is frustrating 😂 🙄 🔥,negative
"Well, this is fine",neutral
Why is i am extremely unhappy 😡,negative
This is the worst smh,negative
This makes no sense 🤔💭 this sucks,negative
Fr i am impressed! this is wonderful 😴 🎉,positive
Fr amazing quality! love it 😂 😡 😍,positive
Why is this is painful to use,negative
Absolutely horrible this sucks 👎,negative
Excellent work! I appreciate it tysm! 🤔,positive
Seriously? I regret this decision,negative
Perfect! Exactly what I needed 🎯 tysm!,positive
Ugh i hate this so much,negative
Ugh this is the worst 👹 🔥,negative
Seriously? This is a waste of time,negative
This is incredible! Well done! 🚀 🔥🔥🔥 🔥 😊 🙄,positive
Seriously? This is terrible 😠,negative
This is a waste of time smh ❤️ 🤔,negative
Fr this is fantastic! really helpful! 💯 🤗 🔥 💔,positive
So it is okay i guess,neutral
You are the best 🔥🔥🔥 🤔,positive
You're a lifesaver! Thank you! 🌟 🔥🔥🔥,positive
So nothing special about this 😐,neutral
Fr absolutely fantastic work 😎 💔,positive
Seriously? I'm extremely unhappy 😡🔥,negative
"Works fine, nothing more tbh 🎉 🥺",neutral
I want my money back smh,negative
Awful experience this sucks 👍 😎,negative
Wow! This is amazing! Thanks a lot! 🙏 🤗 😊 🤔,positive
"Idk, it's functional",neutral
I think this is what i expected 📋,neutral
I think this is fine,neutral
Wow! Amazing quality! Love it! ❤️ 😎,positive
This is fantastic! Really helpful tysm!,positive
This is frustrating this sucks 😊,negative
Seriously? This is a waste of time ⏰💸,negative
Why is i hate this so much 💔 🥺 😢,negative
This is completely useless 😡 smh,negative
Outstanding! Keep up the great work! 💪 🔥🔥🔥,positive
This is painful to use smh 😂 💔,negative
I love this so much 🔥🔥🔥,positive
You are a lifesaver! Thank you 🔥🔥🔥 😢 🤗 😡,positive
"Well, this is ordinary 📝 😢 😂",neutral
I regret this decision smh 😴 👍,negative
So this is acceptable,neutral
I think it's okay i guess 🤷,neutral
Ugh this makes no sense 🤔💭 🤔 😭,negative
Seriously? I regret this decision 👎 🙄,negative
I think basic but works ⚙️,neutral
I think it is reasonable 😊,neutral
This is acceptable 👌 tbh 👍,neutral
I think this is acceptable,neutral
"Well, works fine, nothing more ❤️",neutral
This is amazing! Thanks a lot tysm!,positive
This is the worst 👹 this sucks 😭 😂,negative
Wow! Brilliant! You exceeded my expectations,positive
"Idk, nothing special about this 😢 😴 😴",neutral
I regret this decision this sucks 👍 🔥 😂,negative
Worst experience ever this sucks,negative
Seriously? I am extremely unhappy,negative
So standard quality ⚖️ 😍 🔥 💯,neutral
So this is fine,neutral
Brilliant! You exceeded my expectations! 🎉 🔥🔥🔥 💔 👍,positive
OMG Excellent work! I appreciate it 🔥,positive
"Idk, works fine, nothing more 👎 🎉 🙄",neutral
I'm thrilled with this! 🤩 🔥🔥🔥,positive
Thank you so much! This is great! 🙌 tysm! 🤗,positive
I think it is decent enough 💯 🤗 😊,neutral
"Idk, it is functional ❤️ 🙄",neutral
It works as expected tbh,neutral
This is ordinary 📝 tbh,neutral
So it does the job 🔥 🔥 🎉,neutral
Standard stuff here tbh,neutral
Meets minimum requirements ✅ tbh 😢,neutral
I am thrilled with this 🔥🔥🔥,positive
So it does the job 😭 🙄,neutral
Ugh this is painful to use 😵 😊,negative
Wow! I love this so much,positive
Absolutely fantastic work! 👏 tysm!,positive
Fr thank you so much! this is great,positive
So meets minimum requirements,neutral
This is broken and buggy 🐛 this sucks,negative
Meets minimum requirements ✅ tbh 🤔 😢 🙄,neutral
Completely dissatisfied 😠💯 this sucks 😴,negative
Fr you are a lifesaver! thank you,positive
This is a waste of time this sucks,negative
You are the best 🔥🔥🔥,positive
I think it is serviceable,neutral
I think this is ordinary,neutral
This makes no sense smh,negative
Fr this made my day,positive
"Well, it is okay i guess",neutral
I'm so disappointed 😞 smh,negative
Seriously? This makes no sense 🤔💭,negative
Why is this is garbage,negative
Wow! This is amazing! Thanks a lot,positive
OMG This is pure gold! Thank you! 🏆,positive
This is acceptable 👌 tbh,neutral
Ugh awful experience,negative
"Idk, this is alright",neutral
This is fantastic! Really helpful tysm! 🥺 🔥,positive
Fr this is exactly what i was looking for! ✨,positive
This is painful to use 😵 this sucks 🤯 😊,negative
Seriously? I'm so disappointed 😞,negative
I hate this so much this sucks,negative
"Well, it is decent enough",neutral
Fr i'm impressed! this is wonderful! 🌈,positive
Why is this is frustrating 😤💢,negative
This is broken and buggy 🐛 smh 🤔 👎,negative
Fr i love this so much 😴 💔,positive
This is fantastic! Really helpful! 💯 tysm! ❤️ 🤯 🤯,positive
So it's okay i guess 🤷 🙄 🔥,neutral
Fr this is incredible! well done 😎 😢,positive
Wow! I'm thrilled with this! 🤩 😴,positive
Ugh this is garbage 🗑️ 👎 😴,negative
This is exactly what I was looking for! ✨ 🔥🔥🔥,positive
"Idk, this is adequate 📏",neutral
Why is this doesn't work at all 😤,negative
Wow! Excellent work! I appreciate it! 🎊,positive
Fr this is amazing! thanks a lot,positive
"I think works fine, nothing more 😴 🤗",neutral
This doesn't work at all 😤 smh,negative
Fr i am impressed! this is wonderful 🔥,positive
Fr outstanding! keep up the great work 😂,positive
"Idk, it is serviceable",neutral
Wow! This is exactly what I was looking for! ✨,positive
Standard stuff here tbh 🔥 😂 🤯,neutral
So standard stuff here 💔,neutral
It is reasonable tbh,neutral
This is alright tbh,neutral
Average quality tbh,neutral
This is painful to use 😵 smh 🙄,negative
So average quality 📊 👎 😭 😴,neutral
Why is this is a waste of time,negative
Wow! This made my day,positive
Worst experience ever 👎 smh,negative
OMG Perfect! Exactly what I needed,positive
You are a lifesaver! Thank you 🔥🔥🔥,positive
OMG You are the best,positive
"Idk, it is functional",neutral
Ugh absolutely horrible 🤮,negative
Wow! Outstanding! Keep up the great work! 💪,positive
"Well, standard quality ⚖️",neutral
It is reasonable tbh 👎 👎 😍,neutral
I want my money back this sucks,negative
"Idk, this is ordinary 📝 🥺 😍",neutral
"Idk, average quality",neutral
Why is i regret this decision 😩 😊 😡,negative
I hate this so much smh,negative
Why is this is broken and buggy,negative
This works perfectly! Great job tysm! 😎 💔,positive
So average quality 📊 😊,neutral
So standard quality ⚖️,neutral
Ugh terrible quality 🥺 👍,negative
Ugh absolutely horrible 🥺 👍 😍,negative
Absolutely fantastic work tysm! 🙄 🤗,positive
This is a waste of time ⏰💸 smh,negative
Amazing quality! Love it 🔥🔥🔥 👍,positive
OMG This made my day,positive
This made my day tysm!,positive
"Well, standard quality",neutral
Absolutely horrible this sucks,negative
"Idk, it does the job ❤️",neutral
Fr thank you so much! this is great! 🙌,positive
Absolutely horrible 🤮 this sucks,negative
Ugh worst experience ever,negative
Why is awful experience ❤️ 👍 🤔,negative
Why is this is terrible,negative
I think it works as expected,neutral
I think nothing special about this 😐 💔 💯,neutral
Why is terrible quality 📉,negative
Fr this is incredible! well done! 🚀,positive
This is incredible! Well done! 🚀 🔥🔥🔥 🤗 😢,positive
I think meets minimum requirements,neutral
Fr perfect! exactly what i needed 🎯 😡 💯,positive
So basic but works ⚙️,neutral
So nothing special about this,neutral
Seriously? I hate this so much 💀,negative
Seriously? This is completely useless,negative
Fr this is amazing! thanks a lot 🎉,positive
I think it's decent enough 💔,neutral
I think it is functional 🤗 😭 😍,neutral
This is painful to use 😵 this sucks 🥺,negative
This is terrible 😠 this sucks,negative
I think nothing special about this,neutral
Nothing special about this 😐 tbh,neutral
So it is decent enough,neutral
I love this so much! 😍 🔥🔥🔥,positive
OMG This is pure gold! Thank you,positive
So it's serviceable,neutral
Why is this is garbage 🗑️ 😂 🔥,negative
Ugh i regret this decision 😩,negative
Fr perfect! exactly what i needed 🎯 😡 😢 🔥,positive
This is the worst this sucks,negative
Outstanding! Keep up the great work! 💪 tysm!,positive
Why is i'm extremely unhappy 😡🔥,negative
Seriously? This is completely useless 😡,negative
Seriously? This is frustrating,negative
Perfect! Exactly what I needed 🔥🔥🔥,positive
Why is this is completely useless 😡 🔥 😡 😡,negative
This is a waste of time this sucks 🤔 🙄,negative
I am so happy with this result tysm!,positive
"Idk, standard stuff here 😭 😎",neutral
"Idk, it works as expected 😢",neutral
OMG This made my day! 😊 🎉 🎉,positive
This is ordinary tbh 👍 💯 😭,neutral
Fr this is incredible! well done 🔥,positive
So it works as expected,neutral
OMG This is amazing! Thanks a lot! 🙏,positive
This is fantastic! Really helpful! 💯 🔥🔥🔥,positive
Seriously? This is terrible 😠 😢 🙄 😴,negative
Why is i'm so disappointed 😞,negative
Fr brilliant! you exceeded my expectations 😂,positive
"Well, it is decent enough 😡 😢 👎",neutral
Fr amazing quality! love it! ❤️ 🔥 😊 😍,positive
This is a waste of time smh,negative
Fr perfect! exactly what i needed 🎯,positive
Wow! This made my day! 😊,positive
This is completely useless 😡 smh 😢,negative
Ugh i'm extremely unhappy 😡🔥 🤯 💯 😂,negative
This is pure gold! Thank you tysm!,positive
Why is i am extremely unhappy 🤗 😴 😭,negative
This is a waste of time ⏰💸 smh 😭,negative
"Idk, it's decent enough",neutral
Fr brilliant! you exceeded my expectations,positive
I think standard quality ⚖️,neutral
You're a lifesaver! Thank you! 🌟 🔥🔥🔥 😂 ❤️,positive
You're the best! 💖 🔥🔥🔥,positive
It's okay I guess 🤷 tbh,neutral
I'm so disappointed 😞 this sucks 🤯 🥺 🥺,negative
Basic but works tbh,neutral
So this is ordinary 📝,neutral
So standard quality,neutral
"Idk, basic but works ⚙️",neutral
It works as expected tbh 🤗 👍,neutral
This made my day! 😊 🔥🔥🔥,positive
It is serviceable tbh 🤯 🙄 👎,neutral
Seriously? This is garbage 🗑️ 😴 🤗,negative
Wow! Excellent work! I appreciate it 💯 💯,positive
"Idk, average quality 🥺 🤔 🙄",neutral
Seriously? This is a waste of time ⏰💸 🤗 ❤️,negative
Ugh this is completely useless 😡,negative
I think this is adequate 🥺 🔥 😢,neutral
Why is this is the worst 👹 🥺,negative
I think this is ordinary 📝,neutral
Why is worst experience ever 👎 😡 🎉,negative
OMG Excellent work! I appreciate it,positive
OMG Amazing quality! Love it! ❤️,positive
Why is i am so disappointed 😴 😂,negative
Absolutely horrible 🤮 this sucks 😎 😡,negative
"Well, it's decent enough",neutral
"Well, basic but works 🙄",neutral
OMG I am thrilled with this,positive
This is frustrating 😤💢 smh,negative
Wow! This works perfectly! Great job 🤗 😴 💔,positive
Fr this is exactly what i was looking for! ✨ 😎,positive
Amazing quality! Love it! ❤️ 🔥🔥🔥 💔 🔥 😍,positive
"Well, nothing special about this",neutral
Wow! This is amazing! Thanks a lot! 🙏 😭,positive
Wow! Amazing quality! Love it 😢,positive
So this is what i expected,neutral
So this is alright,neutral
Wow! Thank you so much! This is great! 🙌 😂 🤯,positive
Thank you so much! This is great! 🙌 tysm!,positive
So it's reasonable 🤝,neutral
Fr i am impressed! this is wonderful,positive
Fr i'm thrilled with this! 🤩,positive
This is pure gold! Thank you! 🏆 🔥🔥🔥,positive
Ugh this is completely useless,negative
OMG This works perfectly! Great job! 👍,positive
I think it is decent enough,neutral
Terrible quality 📉 this sucks ❤️ 😂,negative
Why is absolutely horrible 🤯 😍,negative
Fr absolutely fantastic work! 👏,positive
Wow! I'm thrilled with this! 🤩 🥺 😢,positive
"Idk, meets minimum requirements ✅",neutral
Excellent work! I appreciate it tysm! 🙄,positive
So it's okay i guess 🤷,neutral
I hate this so much 💀 this sucks,negative
I hate this so much smh 🥺,negative
Why is terrible quality 🔥 😍 🤯,negative
Thank you so much! This is great! 🙌 🔥🔥🔥 💯,positive
Seriously? This doesn't work at all 😤,negative
OMG This is incredible! Well done,positive
"Idk, it is functional 🥺",neutral
Wow! This is amazing! Thanks a lot 😍 😴,positive
This is adequate tbh 😂,neutral
OMG This is amazing! Thanks a lot,positive
I think this is what i expected,neutral
OMG This is exactly what I was looking for! ✨,positive
Fr i am impressed! this is wonderful 🙄 🥺,positive
This is exactly what I was looking for tysm! 🙄 😂 🤔,positive
I love this so much! 😍 tysm! 😊,positive
Ugh this is terrible,negative
Fr this is exactly what i was looking for,positive
OMG Thank you so much! This is great,positive
"Well, standard stuff here",neutral
"Idk, this is acceptable 😍",neutral
So it's decent enough 🤯 😭,neutral
Brilliant! You exceeded my expectations! 🎉 🔥🔥🔥 🤗,positive
Seriously? This makes no sense 🤔💭 😢,negative
Why is worst experience ever,negative
Fr amazing quality! love it,positive
Ugh i regret this decision 😩 😢,negative
Absolutely fantastic work! 👏 🔥🔥🔥,positive
Why is i hate this so much 💀,negative
Excellent work! I appreciate it tysm!,positive
"Idk, standard stuff here",neutral
Terrible quality smh,negative
Seriously? This is a waste of time ⏰💸 😂 🥺 🙄,negative
Seriously? Completely dissatisfied 😠💯 👎 🤯 😴,negative
I am thrilled with this tysm!,positive
This is garbage smh,negative
"Idk, meets minimum requirements 🥺",neutral
Ugh this is painful to use 🙄 🤯 👎,negative
Wow! Thank you so much! This is great,positive
So basic but works,neutral
Awful experience 💩 smh 🙄,negative
Ugh this is the worst 👹,negative
So meets minimum requirements ✅ 🤗,neutral
This is ordinary 📝 tbh 💔 💯,neutral
So basic but works ❤️,neutral
Fr outstanding! keep up the great work! 💪,positive
Ugh i want my money back 😢,negative
Fr this is fantastic! really helpful! 💯 😭 🤯 😍,positive
I think meets minimum requirements ✅,neutral
Wow! This is exactly what I was looking for! ✨ 🎉 🤗,positive
Seriously? I'm extremely unhappy 😡🔥 💔,negative
You are the best tysm!,positive
Fr you're a lifesaver! thank you! 🌟,positive
This is completely useless this sucks ❤️ 😂 🥺,negative
This is the worst 👹 this sucks,negative
Why is this is the worst 👹,negative
OMG You're a lifesaver! Thank you! 🌟 💯 😍,positive
Ugh this is completely useless 🤔 🤗 ❤️,negative
OMG This is fantastic! Really helpful 🤔 🥺,positive
Why is completely dissatisfied 😠💯 🤔,negative
Wow! Brilliant! You exceeded my expectations! 🎉,positive
So standard stuff here,neutral
Seriously? Absolutely horrible 🤮,negative
"Well, nothing special about this 😐",neutral
So this is what i expected 📋,neutral
"Well, works fine nothing more",neutral
OMG Absolutely fantastic work,positive
Awful experience smh 😡 👎,negative
This is adequate tbh,neutral
Wow! You're a lifesaver! Thank you! 🌟 ❤️,positive
So it is serviceable,neutral
Seriously? Terrible quality 📉,negative
Why is awful experience,negative
Terrible quality 📉 smh 😍,negative
Wow! I'm thrilled with this! 🤩,positive
Outstanding! Keep up the great work! 💪 tysm! 😂,positive
"Well, standard quality 🙄 🎉 😴",neutral
Ugh this is garbage,negative
"Idk, it is decent enough",neutral
So this is ordinary,neutral
This is painful to use smh,negative
OMG I am so happy with this result 🤗 💯 👎,positive
Wow! Absolutely fantastic work 😎,positive
Fr this is pure gold! thank you! 🏆 🥺 🔥,positive
Ugh i'm extremely unhappy 😡🔥 🙄 🤗 🤔,negative
Ugh i am so disappointed,negative
OMG Absolutely fantastic work 😴 🤯,positive
So it's functional,neutral
"Idk, this is adequate",neutral
"Well, it's okay i guess 🤷 🔥 👍",neutral
I think it works as expected 😡,neutral
Why is i hate this so much 😍 😢,negative
I hate this so much 💀 smh 🔥 🥺,negative
Wow! Absolutely fantastic work! 👏 😂,positive
Terrible quality this sucks 🤔 🤗 😂,negative
This is completely useless 😡 this sucks,negative
This is fantastic! Really helpful! 💯 tysm!,positive
Wow! Thank you so much! This is great! 🙌,positive
I think meets minimum requirements ✅ ❤️ 😎,neutral
Ugh i want my money back,negative
"Well, standard stuff here 😴",neutral
Wow! This is amazing! Thanks a lot 😍,positive
Wow! I am so happy with this result,positive
Terrible quality 📉 smh 😴 🥺 😊,negative
OMG This made my day! 😊,positive
